Keuwl Accelerometer Data File
2021-04-11 16-32-20

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.035997,0.423177,0.868318,0.966618,26.063831,94.862068
0.0193738,-0.093226,0.372659,0.832077,0.916471,24.781250,104.045067
0.0387497,-0.116532,0.363020,0.817557,0.902088,25.001839,107.797066
0.0581253,-0.099693,0.386082,0.844524,0.933926,25.274538,104.478508
0.0774998,-0.060524,0.413171,0.871857,0.966700,25.592340,98.333733
0.0968745,-0.024893,0.429034,0.875640,0.975415,26.141365,93.320602
0.1162489,-0.015131,0.427814,0.859899,0.960562,26.465393,92.025589
0.1356225,-0.022208,0.419516,0.834030,0.933859,26.734560,93.030281
0.1549970,-0.033068,0.416588,0.781438,0.886162,28.137035,94.538567
0.1743732,-0.028309,0.422201,0.743488,0.855471,29.645926,93.836052
0.1937496,-0.003051,0.432207,0.780461,0.892150,28.977568,90.404396
0.2131224,0.009518,0.418662,0.898092,0.990928,24.999115,88.697670
0.2324961,-0.028431,0.394868,1.024386,1.098224,21.129795,94.118332
0.2518699,-0.087125,0.372049,1.107850,1.171898,19.030096,103.179756
0.2712451,-0.133128,0.344228,1.040493,1.104012,19.530148,111.143593
0.2906196,-0.164610,0.330927,0.914565,0.986427,22.005302,116.446617
0.3099948,-0.151553,0.335930,0.932259,1.002459,21.569550,114.282242
0.3293677,-0.143133,0.311892,1.019505,1.075711,18.603300,114.651344
0.3487398,-0.143988,0.266377,1.130180,1.170041,14.998631,118.393021
0.3681133,-0.148747,0.199020,1.158246,1.184596,12.107469,126.774223
0.3874856,-0.178154,0.164121,1.103701,1.129970,12.378412,137.347717
0.4068570,-0.175836,0.171199,1.055624,1.083776,13.087702,135.765503
0.4262309,-0.139595,0.191577,1.086740,1.112292,12.304690,126.079414
0.4456051,-0.098107,0.181571,1.152999,1.171324,10.148152,118.383354
0.4649789,-0.085782,0.145330,1.160076,1.172287,8.276853,120.551666
0.4843531,-0.079071,0.100425,1.073318,1.080902,6.791221,128.215591
0.5037287,-0.078095,0.087247,0.922375,0.929777,7.234838,131.831879
0.5231043,-0.084684,0.112994,0.799375,0.811751,10.017673,126.850090
0.5424801,-0.064550,0.130809,0.761060,0.774913,10.850067,116.264961
0.5618545,-0.031726,0.120803,0.797301,0.807024,8.903202,104.715073
0.5812306,-0.004149,0.102500,0.850015,0.856183,6.881451,92.317848
0.6006040,0.016107,0.093714,0.885157,0.890250,6.131461,80.247574
0.6199766,0.017205,0.087857,0.884425,0.888945,5.780080,78.919800
0.6393516,0.017205,0.072238,0.867342,0.870515,4.893488,76.603142
0.6587246,0.024039,0.072482,0.852333,0.855747,5.119674,71.651909
