Keuwl Accelerometer Data File
2021-05-23 11-16-38

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.011104,-0.067479,1.029389,1.031658,3.800761,279.344666
0.0194178,0.041488,-0.040146,1.117246,1.118737,2.958037,315.941986
0.0388370,0.063330,0.012934,0.708834,0.711775,5.210302,11.543271
0.0582550,0.054300,-0.007077,0.819997,0.821824,3.820544,352.574097
0.0776729,0.002685,-0.074800,1.109802,1.112324,3.858387,272.055420
0.0970913,0.029286,-0.088711,1.107606,1.111539,4.821133,288.269287
0.1165108,0.075166,-0.072848,1.161663,1.166369,5.148906,315.897400
0.1359284,0.051860,-0.031360,0.750932,0.753373,4.614097,328.838409
0.1553483,0.024527,-0.006589,0.838423,0.838807,1.735058,344.962189
0.1747679,0.061744,-0.068821,1.083323,1.087262,4.878171,311.897278
0.1941887,0.030140,-0.078217,1.080273,1.083520,4.436987,291.073425
0.2136069,0.049664,-0.047101,0.964107,0.966533,4.060956,316.516937
0.2330267,0.051982,-0.029164,0.899678,0.901651,3.790287,330.706146
0.2524470,0.033800,-0.050396,0.940800,0.942755,3.690455,303.849854
0.2718673,0.053690,-0.057961,1.043788,1.046774,4.328617,312.809418
0.2912849,0.035265,-0.053080,1.014502,1.016502,3.594285,303.598785
0.3107027,0.046003,-0.044539,0.909928,0.912178,4.025258,315.926544
0.3301207,0.041244,-0.048199,0.960690,0.962782,3.777868,310.553467
0.3495403,0.030506,-0.051372,1.001812,1.003592,3.413001,300.702881
0.3689596,0.043562,-0.049664,0.985705,0.987916,3.834204,311.255615
0.3883798,0.035143,-0.051860,0.947634,0.949702,3.782168,304.123413
0.4077970,0.014399,-0.035875,0.965937,0.966710,2.291747,291.868591
0.4272155,0.038193,-0.058327,0.982166,0.984638,4.060328,303.217255
0.4466345,0.040268,-0.061500,0.988511,0.991241,4.252937,303.215240
0.4660538,0.025381,-0.045881,0.967889,0.969309,3.100846,298.950989
0.4854722,0.023917,-0.048931,0.972404,0.973928,3.205707,296.048370
0.5048905,0.026479,-0.053080,0.980946,0.982738,3.460457,296.512329
0.5243090,0.010372,-0.052226,0.981068,0.982512,3.106586,281.232666
0.5437294,0.043196,-0.051250,0.973991,0.976294,3.936615,310.126099
0.5631493,0.030018,-0.057351,0.993636,0.995743,3.727306,297.627747
