Keuwl Accelerometer Data File
2021-05-23 11-13-01

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.011104,-0.123610,0.959226,0.967221,7.372141,264.866760
0.0194095,0.005491,-0.122511,0.996687,1.004203,7.014534,272.566315
0.0388193,-0.001952,-0.115922,0.964961,0.971901,6.851143,269.035095
0.0582285,0.022574,-0.089443,0.945803,0.950291,5.570704,284.164917
0.0776392,0.020378,-0.091884,0.942020,0.946710,5.705438,282.504639
0.0970495,0.005491,-0.105428,0.952758,0.958590,6.322915,272.981476
0.1164600,-0.042586,-0.116532,1.004619,1.012251,7.040382,249.925415
0.1358703,-0.022086,-0.076875,1.003642,1.006824,4.556468,253.970551
0.1552794,0.002807,-0.039047,0.901265,0.902114,2.487190,274.111053
0.1746907,-0.035631,-0.039536,1.019749,1.021137,2.987669,227.973740
0.1941013,-0.008786,0.000000,0.956175,0.956216,0.526376,180.000000
0.2135112,-0.017571,-0.001952,0.963863,0.964025,1.050902,186.340195
0.2329218,-0.046491,-0.000366,0.992904,0.993992,2.680880,180.451141
0.2523334,-0.016107,0.015131,0.967767,0.968020,1.308208,136.789902
0.2717433,-0.004149,0.015131,0.979238,0.979363,0.917919,105.333282
0.2911513,-0.011348,0.021354,0.995467,0.995760,1.391564,117.987450
0.3105633,-0.018426,0.021476,0.965205,0.965620,1.679347,130.628098
0.3299734,-0.003173,0.021232,0.990464,0.990696,1.241750,98.498558
0.3493837,0.004637,0.020866,0.987535,0.987767,1.240016,77.471191
0.3687938,-0.014643,0.015497,0.973380,0.973614,1.254762,133.376663
0.3882044,0.003539,0.018548,0.992050,0.992230,1.090560,79.198380
0.4076129,-0.008664,0.019646,0.975699,0.975935,1.260674,113.797180
0.4270223,-0.000366,0.023428,0.987291,0.987569,1.359555,90.895172
0.4464332,0.007809,0.031360,0.975455,0.975990,1.897645,76.016228
0.4658448,-0.019158,0.030872,0.982654,0.983326,2.117478,121.821808
0.4852570,-0.001830,0.036363,0.963497,0.964184,2.164103,92.881584
0.5046687,0.006101,0.027699,0.978017,0.978429,1.661186,77.578140
0.5240791,-0.012568,0.023062,0.961788,0.962147,1.564355,118.589218
0.5434905,0.000976,0.027333,0.970818,0.971203,1.613739,87.954590
0.5629000,-0.016717,0.006589,0.966913,0.967080,1.064592,158.487595
0.5823135,-0.007809,0.013423,0.965205,0.965330,0.921748,120.191628
0.6017254,-0.001220,0.012812,0.965693,0.965779,0.763614,95.440331
0.6211379,-0.013911,0.007077,0.969964,0.970089,0.921960,153.034286
0.6405481,-0.020378,0.014399,0.969476,0.969797,1.474323,144.755478
0.6599578,-0.007077,0.006345,0.964107,0.964154,0.564753,138.122131
0.6793680,-0.007443,0.017205,0.981922,0.982101,1.093785,113.394470
0.6987792,-0.017693,0.007199,0.965937,0.966126,1.132806,157.858765
0.7181888,-0.003173,0.011104,0.980580,0.980648,0.674927,105.945396
0.7375991,-0.015253,0.010372,0.981800,0.981973,1.076292,145.784302
0.7570091,-0.014155,0.007321,0.983264,0.983393,0.928727,152.650116
0.7764199,0.010372,0.008542,0.978017,0.978110,0.787085,39.472462
0.7958297,-0.014521,0.012446,0.988023,0.988208,1.109064,139.398712
0.8152394,0.001342,0.007443,0.984240,0.984270,0.440575,79.777832
0.8346485,-0.014521,0.002318,0.983508,0.983618,0.856608,170.928497
0.8540589,0.014643,0.016473,0.976309,0.976558,1.293163,48.366459
0.8734696,0.003661,0.008542,0.983264,0.983308,0.541764,66.801414
0.8928810,0.004515,0.005003,0.962642,0.962666,0.401051,47.935680
0.9122919,-0.000854,0.013545,0.996443,0.996535,0.780093,93.608467
0.9317033,-0.000366,0.016839,0.960812,0.960960,1.004442,91.245361
0.9511138,0.017449,0.007809,0.983996,0.984182,1.113115,24.111021
0.9705265,-0.006711,0.015009,0.966669,0.966809,0.974581,114.092018
