Keuwl Accelerometer Data File
2021-05-23 11-13-36

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.065038,-0.040146,0.974235,0.977228,4.485807,328.314606
0.0194160,0.060402,-0.039292,0.971916,0.974584,4.240070,326.955780
0.0388318,0.072360,-0.036485,0.961056,0.964467,4.819873,333.242035
0.0582498,0.060280,-0.039902,0.985583,0.988230,4.194933,326.497711
0.0776673,0.061744,-0.038803,0.959958,0.962724,4.344199,327.852356
0.0970837,0.063208,-0.051006,0.993880,0.997194,4.671854,321.098206
0.1165018,0.067357,-0.044050,0.959958,0.963326,4.792441,326.815887
0.1359179,0.060035,-0.044783,0.980824,0.983679,4.366774,323.279449
0.1553370,0.065038,-0.044417,0.974235,0.977413,4.621774,325.669800
0.1747534,0.065893,-0.037339,0.965449,0.968415,4.485501,330.461212
0.1941692,0.068455,-0.038559,0.980092,0.983236,4.583215,330.608307
0.2135855,0.061012,-0.049297,0.964351,0.967536,4.650126,321.061798
0.2330019,0.069797,-0.041610,0.976797,0.980171,4.755428,329.198547
0.2524173,0.061988,-0.042586,0.975455,0.978350,4.408733,325.510620
0.2718337,0.065527,-0.035387,0.961422,0.964302,4.429299,331.629303
0.2912492,0.061500,0.002440,0.990708,0.992618,3.554956,2.272450
0.3106647,0.071628,0.004027,0.951660,0.954361,4.311071,3.217671
0.3300807,0.055155,0.006955,0.983874,0.985444,3.233919,7.187414
0.3494973,0.068943,0.023917,0.968988,0.971731,4.306753,19.131798
0.3689125,0.050518,0.014521,0.975699,0.977114,3.083690,16.036745
0.3883290,0.060890,0.016717,0.973625,0.975670,3.710615,15.352230
0.4077468,0.066991,0.025625,0.981800,0.984416,4.178280,20.932535
0.4271662,0.040634,0.018181,0.968133,0.969156,2.632696,24.106007
0.4465846,0.064184,0.025747,0.987779,0.990197,4.004870,21.857729
0.4660029,0.064062,0.031238,0.970696,0.973309,4.199366,25.994740
0.4854202,0.050152,0.020622,0.976309,0.977814,3.179030,22.352081
0.5048373,0.064672,0.023551,0.998395,1.000765,3.943623,20.009144
0.5242528,0.065283,0.024405,0.963985,0.966501,4.135217,20.497343
0.5436711,0.050762,0.019524,0.989366,0.990859,3.146472,21.037512
0.5630893,0.052714,0.026845,0.983142,0.984920,3.443384,26.987888
0.5825076,0.070041,0.023917,0.970208,0.973027,4.362331,18.853161
0.6019253,0.034777,0.021110,0.985583,0.986422,2.363640,31.258486
0.6213447,0.062964,0.021598,0.968988,0.971271,3.929794,18.933161
0.6407622,0.076875,0.021598,0.986803,0.990029,4.626222,15.692835
0.6601814,0.051250,0.014277,0.966547,0.968010,3.150513,15.566318
0.6795985,0.055399,0.022330,0.982776,0.984590,3.477952,21.953562
0.6990166,0.060524,0.024405,0.972770,0.974957,3.837931,21.960562
0.7184348,0.038437,0.009884,0.963863,0.964679,2.357836,14.420774
0.7378533,0.063940,0.018304,0.977163,0.979424,3.893701,15.974276
0.7572684,0.073580,0.018181,0.994124,0.997010,4.359816,13.879637
0.7766856,0.046369,0.012812,0.951660,0.952875,2.893809,15.446318
0.7961042,0.066137,0.016107,0.982898,0.985253,3.961656,13.687492
