Keuwl Accelerometer Data File
2021-05-23 11-19-03

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.001952,-0.059059,1.005351,1.007086,3.363772,268.106628
0.0194204,0.021720,-0.032336,1.024996,1.025736,2.176458,303.889191
0.0388420,0.050640,-0.021720,0.865146,0.866899,3.644219,336.784760
0.0582625,0.047467,-0.027455,0.954711,0.956284,3.287297,329.954651
0.0776828,0.020012,-0.031604,0.981068,0.981781,2.183551,302.342194
0.0971043,-0.016717,-0.075288,1.031342,1.034221,4.276496,257.481018
0.1165245,0.041976,-0.033434,1.010598,1.012021,3.039635,321.462280
0.1359443,0.017205,-0.031848,0.880765,0.881508,2.353516,298.379242
0.1553642,0.069065,-0.062354,1.009011,1.013293,5.268791,317.923431
0.1747849,-0.056619,-0.051128,1.047937,1.050710,4.163630,222.082581
0.1942069,-0.023795,-0.041000,0.840863,0.842198,3.226647,239.870956
0.2136289,0.067601,-0.050152,1.082469,1.085737,4.446424,323.429138
0.2330480,-0.050030,-0.044783,0.912613,0.915080,4.207939,221.832428
0.2524685,0.058205,-0.043928,0.996809,0.999473,4.184041,322.957520
0.2718880,-0.010494,-0.050884,0.973625,0.975010,3.054540,258.346985
0.2913084,0.008664,-0.041732,0.956419,0.957368,2.551673,281.728149
0.3107275,0.030018,-0.048565,1.005961,1.007580,3.248356,301.719818
0.3301478,-0.007565,-0.050518,0.935309,0.936703,3.125998,261.482758
0.3495677,0.023306,-0.042830,1.010964,1.012139,2.761304,298.553253
0.3689895,0.011958,-0.044661,0.943729,0.944861,2.804702,284.989868
0.3884109,0.006467,-0.032214,0.989610,0.990155,1.901560,281.351654
0.4078330,0.011104,-0.021598,0.967035,0.967340,1.438583,297.208801
0.4272530,0.016351,-0.015253,0.959836,0.960096,1.334569,316.990173
0.4466745,0.002807,-0.004637,0.998273,0.998288,0.310904,301.184967
0.4660951,-0.002685,0.001098,0.956663,0.956668,0.173589,157.750977
0.4855158,0.025015,-0.004027,0.981800,0.982127,1.478299,350.855225
0.5049359,-0.012324,0.006589,0.981678,0.981778,0.815654,151.868652
0.5243567,0.019280,0.006833,0.968377,0.968593,1.210146,19.515875
0.5437773,0.022940,0.007687,0.977529,0.977829,1.417755,18.526327
0.5632010,-0.002929,0.009762,0.989976,0.990028,0.589835,106.699242
0.5826231,-0.001952,0.006101,0.985583,0.985604,0.372203,107.744675
0.6020438,0.013423,0.002685,0.960080,0.960177,0.816852,11.309934
0.6214637,-0.008298,-0.001098,1.018407,1.018442,0.471469,187.539444
0.6408852,0.005857,0.003295,0.953247,0.953270,0.404452,29.357754
0.6603076,0.005125,0.005247,0.960568,0.960596,0.437455,45.674038
0.6797299,0.015497,0.009274,1.007181,1.007343,1.027173,30.897360
0.6991524,0.002807,0.006345,0.955809,0.955834,0.416371,66.139832
0.7185743,0.013301,0.004881,0.977407,0.977510,0.830630,20.151747
0.7379944,0.004515,0.006223,0.992294,0.992324,0.444114,54.039482
0.7574159,0.008420,0.006833,0.958738,0.958799,0.648007,39.062588
0.7768381,0.005491,-0.002929,0.978993,0.979013,0.364232,331.927521
0.7962601,-0.028431,-0.003417,0.984485,0.984901,1.666126,186.852463
0.8156808,0.033068,0.012812,0.948854,0.949516,2.140460,21.179052
0.8351017,-0.002807,-0.017083,0.999982,1.000131,0.991895,260.670471
0.8545238,-0.038681,-0.005613,0.971794,0.972580,2.303333,188.256577
0.8739464,0.004271,-0.008786,0.988267,0.988316,0.566482,295.924896
0.8933690,-0.007077,-0.016473,0.966303,0.966469,1.062936,246.750214
0.9127891,-0.039536,-0.004515,0.968622,0.969439,2.352518,186.514816
0.9322095,0.001220,-0.002929,0.982044,0.982049,0.185575,292.619873
0.9516314,-0.002196,-0.013301,0.989976,0.990067,0.780093,260.622955
0.9710520,-0.012812,0.002929,0.970574,0.970663,0.775817,167.125000
0.9904732,-0.003417,0.000244,0.990220,0.990226,0.198810,175.914383
1.0098920,0.005247,-0.007077,0.959470,0.959510,0.526376,306.552460
1.0293136,-0.004637,-0.004515,0.978750,0.978771,0.378976,224.236099
1.0487336,0.002685,-0.000122,0.982532,0.982536,0.157018,357.397430
1.0681524,-0.001098,-0.011958,0.974601,0.974675,0.705821,264.752869
1.0875703,-0.015253,-0.008298,0.980458,0.980612,1.014521,208.546188
1.1069900,0.007077,-0.001830,0.976187,0.976214,0.429328,345.499847
1.1264092,-0.000122,-0.009274,0.973625,0.973669,0.545722,269.246155
1.1458277,-0.017205,-0.006711,0.964473,0.964649,1.097001,201.309311
1.1652443,-0.001220,-0.005247,0.983020,0.983035,0.314035,256.908112
1.1846634,-0.006345,-0.007199,0.975089,0.975136,0.563712,228.608475
1.2040814,-0.010128,-0.010372,0.968134,0.968242,0.857978,225.682053
1.2235007,-0.001098,-0.001708,0.986681,0.986683,0.117034,237.264771
1.2429202,0.002562,-0.006223,0.977773,0.977796,0.394161,292.380127
1.2623391,-0.026235,-0.010128,0.971550,0.971957,1.658002,201.108902
1.2817577,-0.004881,-0.002929,0.985949,0.985965,0.331022,210.963760
1.3011785,0.002196,-0.006467,0.980336,0.980359,0.399095,288.758667
1.3205955,-0.017449,-0.013057,0.969110,0.969355,1.288160,216.805740
1.3400134,0.000976,-0.002562,0.985095,0.985098,0.159490,290.854462
