Keuwl Accelerometer Data File
2021-04-11 16-49-03

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.062270,-0.019999,0.055020,-0.008313,-5.104361,-19.474808
0.0193822,-0.020294,-0.029273,0.051603,-0.014168,-6.075296,-3.294357
0.0387649,-0.059098,-0.027808,0.062707,-0.000159,-4.963809,-16.581589
0.0581478,-0.027371,-0.007430,0.059657,-0.008082,-7.005713,-11.369690
0.0775295,-0.031398,-0.032079,0.034764,-0.029725,-5.468511,-6.798462
0.0969100,-0.024443,0.013802,0.022806,-0.046771,-7.854474,-17.217590
0.1162908,-0.039330,-0.047210,0.068076,0.005795,-4.774216,-6.417252
0.1356730,-0.062880,-0.012555,0.060023,-0.004090,-5.428308,-21.701263
0.1550554,-0.016511,-0.046234,0.072957,0.008906,-5.459615,1.132660
0.1744397,-0.067761,-0.017924,0.050993,-0.011921,-4.928295,-21.519592
0.1938238,-0.022002,-0.019023,0.020853,-0.045728,-6.311953,-6.203125
0.2132071,-0.041892,-0.045990,0.102609,0.039952,-5.063712,-7.448959
0.2325875,-0.040916,-0.002794,0.018779,-0.048027,-6.407841,-17.833588
0.2519669,-0.049458,-0.049284,0.063928,0.002859,-4.326905,-9.090485
0.2713481,-0.041770,-0.003282,0.054166,-0.012812,-6.624276,-17.976044
0.2907296,-0.021514,-0.049651,0.050749,-0.012274,-4.968065,-0.104187
0.3101103,-0.063124,-0.006576,0.057216,-0.007433,-5.630385,-23.531296
0.3294909,-0.027493,-0.038546,0.037937,-0.026045,-5.279252,-4.123016
0.3488720,-0.044821,-0.030371,0.085038,0.020888,-5.548504,-11.671616
0.3682528,-0.029690,-0.007674,0.020853,-0.046399,-6.627442,-12.211746
0.3876340,-0.070568,-0.026100,0.077228,0.015207,-4.723163,-20.108688
0.4070143,-0.020416,0.030885,0.037814,-0.033278,-8.849710,-22.951492
0.4263938,-0.038720,-0.007796,0.078082,0.011091,-6.718266,-15.529343
0.4457748,-0.053606,0.041623,0.045014,-0.023985,-7.603075,-39.787170
0.4651540,-0.025297,0.004162,0.074666,0.005639,-7.712698,-14.112091
0.4845359,-0.055681,0.044918,0.070029,0.000937,-7.732934,-41.890106
0.5039174,-0.021758,0.024540,0.040987,-0.029634,-8.545598,-20.525711
0.5233002,-0.059830,0.026614,0.086624,0.018789,-7.145128,-34.520462
0.5426823,-0.025785,0.048212,0.048675,-0.022963,-9.265173,-35.185394
0.5620634,-0.049824,0.012947,0.067222,-0.000511,-7.029197,-26.251312
0.5814465,-0.030910,0.056144,0.059413,-0.012182,-9.259142,-42.110107
0.6008272,-0.040062,0.012947,0.066124,-0.002453,-7.448442,-23.021255
0.6202068,-0.041282,0.051263,0.058070,-0.012530,-8.579610,-41.896240
0.6395885,-0.020660,0.020757,0.058559,-0.011955,-8.526145,-18.346573
