Keuwl Accelerometer Data File
2021-04-11 16-54-07

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.082488,-0.136422,0.952270,0.965523,9.503860,238.840698
0.0194108,-0.023673,-0.143011,0.998029,1.008501,8.264055,260.601105
0.0388235,-0.065771,-0.122145,0.983264,0.993003,8.030768,241.699249
0.0582343,-0.031238,-0.123000,0.897360,0.906289,8.049375,255.749969
0.0776442,-0.040146,-0.103598,1.002788,1.008924,6.322326,248.817917
0.0970550,-0.047467,-0.127880,0.881009,0.891506,8.801184,249.635925
0.1164644,-0.016351,-0.098229,1.018041,1.022900,5.586688,260.549225
0.1358756,-0.086759,-0.156800,0.919690,0.936986,11.025945,241.043915
0.1552862,-0.037095,-0.122511,1.069779,1.077410,6.823288,253.154266
0.1746982,-0.067967,-0.137764,0.925913,0.938570,9.420120,243.740250
0.1941065,-0.003417,-0.117509,0.953003,0.960226,7.032241,268.334534
0.2135160,-0.082854,-0.127514,0.949342,0.961444,9.100469,236.985764
0.2329256,-0.013789,-0.144110,0.989854,1.000384,8.320601,264.534485
0.2523333,-0.079193,-0.120315,0.981190,0.991706,8.351389,236.646484
0.2717433,-0.006833,-0.137764,0.892113,0.902713,8.789189,267.160370
0.2911516,-0.083098,-0.112750,1.038053,1.047460,7.684442,233.609299
0.3105609,-0.028187,-0.128125,0.885524,0.895189,8.426950,257.592590
0.3299713,-0.048565,-0.095422,1.057699,1.063104,5.780351,243.026123
0.3493805,-0.057961,-0.120681,0.842083,0.852659,9.033549,244.345810
0.3687906,-0.027577,-0.099815,1.076856,1.081824,5.492906,254.555405
0.3881995,-0.061256,-0.106892,0.877958,0.886560,7.987900,240.184738
0.4076093,-0.033312,-0.091884,1.031464,1.036084,5.412836,250.071899
0.4270216,-0.062598,-0.104208,0.901875,0.910031,7.676673,239.006653
0.4464326,-0.007565,-0.094934,1.031708,1.036094,5.273921,265.443634
0.4658424,-0.107259,-0.089443,0.923961,0.934456,8.595303,219.824799
0.4852534,0.026357,-0.105550,0.983752,0.989750,6.310593,284.020660
0.5046653,-0.106160,-0.079315,0.997297,1.006063,7.568931,216.764389
0.5240774,-0.008054,-0.114458,0.909684,0.916892,7.188919,265.975159
0.5434888,-0.068211,-0.075654,1.065508,1.070366,5.460989,227.961777
0.5628999,-0.029896,-0.113360,0.862705,0.870635,7.738702,255.226089
0.5823120,-0.065038,-0.081146,1.089059,1.094012,5.454598,231.287704
0.6017210,-0.035387,-0.109821,0.859533,0.867242,7.645523,252.139908
0.6211303,-0.039902,-0.088101,1.087838,1.092129,5.080566,245.633820
0.6405417,-0.083830,-0.102256,0.858434,0.868558,8.756542,230.654785
0.6599529,0.009152,-0.099449,1.068071,1.072730,5.341884,275.257813
0.6793630,-0.113604,-0.092982,0.917006,0.928682,9.095328,219.299469
0.6987740,0.014765,-0.109455,0.974723,0.980960,6.464627,277.682495
0.7181860,-0.093226,-0.084074,1.006205,1.014006,7.111630,222.045166
0.7375990,-0.009518,-0.114214,0.892723,0.900050,7.315742,265.236359
0.7570087,-0.072726,-0.080657,1.056966,1.062531,5.866550,227.960159
0.7764187,-0.025625,-0.114824,0.859411,0.867426,7.795029,257.419617
0.7958287,-0.057351,-0.081878,1.080273,1.084888,5.286945,234.990799
0.8152390,-0.054544,-0.112262,0.844646,0.853818,8.405600,244.086288
0.8346480,-0.015619,-0.087613,1.087960,1.091594,4.676338,259.891907
0.8540578,-0.100425,-0.099327,0.865634,0.877082,9.267495,224.684998
0.8734697,0.015619,-0.098961,1.037931,1.042755,5.513347,278.968994
0.8928808,-0.103598,-0.086515,0.946657,0.956231,8.114378,219.865265
0.9122921,0.007199,-0.101890,0.952636,0.958097,6.120004,274.041718
0.9317034,-0.086759,-0.086271,1.013404,1.020763,6.884159,224.838379
0.9511147,-0.006955,-0.102744,0.907244,0.913070,6.475749,266.127228
0.9705271,-0.075654,-0.085050,1.046473,1.052645,6.207915,228.346054
0.9899380,-0.014033,-0.105428,0.885768,0.892130,6.846962,262.418396
1.0093485,-0.062598,-0.079315,1.062580,1.067373,5.431989,231.718414
1.0287589,-0.035265,-0.101523,0.877958,0.884512,6.979041,250.845032
1.0481715,-0.040756,-0.073458,1.058187,1.061516,4.539025,240.977737
1.0675825,-0.047955,-0.100303,0.890405,0.897319,7.117228,244.447433
1.0869929,-0.041488,-0.076143,1.041592,1.045195,4.758846,241.415283
1.1064030,-0.046247,-0.097253,0.906146,0.912522,6.777402,244.567352
1.1258141,-0.048687,-0.074556,1.028901,1.032747,4.946330,236.854340
1.1452255,-0.048199,-0.100059,0.907854,0.914622,6.974683,244.279541
1.1646369,-0.046613,-0.076265,1.031097,1.034964,4.954324,238.566727
1.1840483,-0.060402,-0.096276,0.910416,0.917483,7.115904,237.896805
1.2034599,-0.032580,-0.074068,1.023288,1.026482,4.521211,246.256836
1.2228709,-0.060402,-0.091884,0.922009,0.928542,6.800975,236.680267
1.2422831,-0.041488,-0.071750,1.010110,1.013504,4.690726,239.962158
1.2616950,-0.046369,-0.091762,0.933357,0.939002,6.285969,243.191650
1.2811069,-0.042586,-0.068211,1.009621,1.012819,4.553845,238.022263
1.3005193,-0.048443,-0.096154,0.927378,0.933607,6.622379,243.260712
1.3199294,-0.036363,-0.068577,1.018407,1.021361,4.358558,242.065277
1.3393368,-0.050152,-0.093592,0.921887,0.927981,6.570323,241.815186
1.3587455,-0.043684,-0.067601,1.018041,1.021218,4.520431,237.129074
1.3781540,-0.038803,-0.091151,0.929452,0.934717,6.083990,246.940414
1.3975638,-0.051616,-0.064428,1.010231,1.013599,4.671686,231.300507
1.4169762,-0.035631,-0.091640,0.932381,0.937550,6.019755,248.753174
1.4363869,-0.054422,-0.062964,1.008767,1.012195,4.716298,229.161789
1.4557965,-0.026723,-0.087003,0.935675,0.940091,5.555732,252.925507
1.4752065,-0.065527,-0.064916,1.005595,1.009816,5.240824,224.732010
1.4946172,-0.016961,-0.084684,0.937628,0.941597,5.262725,258.674194
1.5140276,-0.069065,-0.067967,1.002178,1.006852,5.522722,224.540833
1.5334390,-0.012934,-0.075410,0.943119,0.946217,4.638021,260.267273
1.5528512,-0.070896,-0.071018,0.994857,0.999905,5.759732,225.049271
1.5722620,-0.013301,-0.063330,0.942997,0.945214,3.925706,258.139160
1.5916743,-0.067357,-0.075532,1.000592,1.005697,5.775466,228.274673
1.6110843,-0.027333,-0.047589,0.936285,0.937892,3.354505,240.128708
1.6304948,-0.044905,-0.082000,1.003032,1.007380,5.325020,241.294052
1.6499065,-0.047101,-0.040878,0.953003,0.955041,3.744184,220.953918
1.6693188,-0.036241,-0.069797,0.973625,0.976796,4.618085,242.560272
1.6887292,-0.047223,-0.053690,0.998761,1.001318,4.094908,228.666901
1.7081382,-0.042830,-0.041122,0.925181,0.927085,3.671999,223.834259
1.7275490,-0.042464,-0.067845,1.034026,1.037119,4.426115,237.957581
1.7469585,-0.038559,-0.032458,0.935675,0.937032,3.083372,220.089737
1.7663673,-0.047833,-0.051006,0.983142,0.985626,4.068327,226.838486
1.7857766,-0.037339,-0.062110,0.998761,1.001387,4.150062,238.986603
1.8051853,-0.042220,-0.025991,0.927500,0.928824,3.059791,211.616745
1.8245940,-0.046857,-0.052958,1.023776,1.026215,3.951163,228.497833
1.8440025,-0.033556,-0.057961,0.953369,0.955718,4.018393,239.931427
1.8634120,-0.042586,-0.011714,0.966059,0.967068,2.617784,195.380066
1.8828212,-0.051982,-0.054544,0.993636,0.996489,4.336438,226.377991
1.9022298,-0.020134,-0.046125,0.980458,0.981749,2.938516,246.418350
1.9216397,-0.062842,-0.006711,0.957517,0.959601,3.776261,186.095856
1.9410505,-0.038803,-0.051006,0.980946,0.983037,3.737955,232.737366
1.9604616,-0.028920,-0.047345,1.004374,1.005906,3.161679,238.582382
1.9798716,-0.062720,0.000976,0.949098,0.951168,3.781236,179.108307
1.9992818,-0.038071,-0.034289,0.970086,0.971438,3.023297,222.007492
2.0186911,-0.029286,-0.043562,1.021092,1.022440,2.942776,236.088287
2.0381021,-0.062842,-0.008542,0.957395,0.959494,3.789823,187.740341
2.0575132,-0.042952,-0.005857,0.957029,0.958011,2.593519,187.765167
2.0769236,-0.021476,-0.030506,0.999982,1.000677,2.136617,234.854462
2.0963333,-0.061256,-0.026235,1.008035,1.010235,3.782168,203.184814
2.1157451,-0.038559,-0.003783,0.955687,0.956472,2.321530,185.602859
2.1351564,-0.030384,-0.002685,0.977529,0.978005,1.787284,185.049164
2.1545668,-0.051006,-0.026235,0.977407,0.979089,3.358471,207.219208
2.1739779,-0.037949,-0.025747,1.020970,1.021999,2.571920,214.155182
