Keuwl Accelerometer Data File
2021-04-11 16-50-11

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.012030,0.779046,-0.341234,-0.004979,40.419495,-125.690208
0.0193967,0.001780,0.805159,-0.366493,0.000371,42.506901,-124.971054
0.0387951,0.037411,0.777826,-0.365517,-0.020821,41.498314,-127.581032
0.0581931,0.067185,0.766356,-0.378329,-0.036701,41.733608,-129.849701
0.0775916,0.102084,0.707052,-0.340624,-0.056030,37.816364,-132.994476
0.0969916,0.147110,0.625175,-0.341356,-0.110517,34.687294,-137.949005
0.1163905,0.211661,0.550252,-0.385041,-0.180267,34.173088,-145.797302
0.1357866,0.299395,0.463616,-0.406273,-0.223790,33.158821,-157.875336
0.1551839,0.312452,0.387473,-0.339648,-0.209514,26.845993,-164.000061
0.1745829,0.343690,0.273503,-0.211645,-0.135717,18.391346,-177.055588
0.1939802,0.481210,0.429083,-0.004694,0.148099,22.340179,-173.963730
0.2133763,0.202631,0.307792,0.183100,0.202452,6.205397,-157.761353
0.2327747,0.182009,0.021159,-0.138309,-0.155453,0.380663,-212.042221
0.2521736,0.121485,0.119510,-0.387603,-0.401343,3.883939,-168.981064
0.2715731,-0.067041,0.183816,-0.441415,-0.439063,9.798605,-99.864647
0.2909729,0.361627,0.253247,-0.905348,-0.568387,71.905151,-180.744583
0.3103714,0.721352,-0.047784,-0.333303,-0.050164,37.536442,139.104324
0.3297704,0.340883,-0.107942,0.047410,0.070787,7.925533,123.714737
0.3491699,0.322092,-0.052543,-0.031539,-0.014642,7.569658,132.210312
0.3685679,0.128441,-0.115629,0.329772,0.307223,-3.521657,94.833389
0.3879683,-0.115484,-0.265840,0.184565,0.191764,4.157054,27.589859
0.4073694,-0.283144,-0.165903,-0.015310,0.014275,9.493103,-6.208344
0.4267693,-0.349159,-0.068772,0.064616,0.098665,9.372366,-24.313965
0.4461665,-0.278873,-0.094275,0.353201,0.357546,2.692075,-17.132401
0.4655659,-0.056181,0.109504,0.488769,0.461068,-5.882454,-89.183136
0.4849655,0.072554,0.376979,0.541727,0.553899,3.062580,-134.447205
0.5043650,-0.161609,0.356113,0.867163,0.875489,1.252347,-98.673584
0.5237640,-0.325974,0.415294,0.863625,0.906883,5.463388,-85.856750
0.5431616,-0.147698,0.704856,1.223349,1.304504,7.307735,-112.731293
0.5625609,-0.123294,0.901069,1.574777,1.697820,8.775940,-117.151047
0.5819599,-0.176496,0.520479,0.595661,0.656143,8.560247,-105.269821
0.6013582,-0.517063,0.109504,0.025324,0.133468,18.174150,-46.839859
0.6207563,-0.393941,0.298884,-0.214818,-0.092816,23.317379,-71.264557
0.6401571,-0.062282,0.354649,-0.143800,-0.102982,12.692675,-112.919136
0.6595577,0.075361,-0.214712,-0.125375,-0.127169,4.630330,67.731552
0.6789573,0.079509,-0.287682,0.090851,0.100523,5.249434,65.156265
0.6983587,0.217518,-0.154189,0.305978,0.298606,0.625093,104.206253
0.7177606,-0.023478,-0.204096,-0.126839,-0.132002,3.811975,42.329697
0.7371601,0.015325,-0.122585,-0.027878,-0.051736,-2.783977,51.890579
0.7565593,0.102572,-0.126245,-0.003962,-0.023989,-1.400748,85.238907
0.7759578,0.269622,-0.335149,0.607376,0.631010,4.355233,89.729446
0.7953556,0.048759,-0.354063,-0.141116,-0.096729,13.176413,58.336746
0.8147535,0.136738,-0.008493,-0.825301,-0.813462,30.742287,135.157608
0.8341517,-0.273016,0.048248,-0.649465,-0.564356,32.815971,-43.854156
0.8535511,-0.443117,-0.358456,0.953556,1.009645,6.327578,2.216263
0.8729506,0.012396,-0.084025,0.307320,0.277618,-6.622020,49.330826
0.8923486,-0.073020,-0.078412,-0.162470,-0.185479,-1.749968,7.156693
0.9117459,-0.011642,-0.003246,-0.115369,-0.147848,-8.562687,-14.529068
0.9311447,-0.005663,-0.089272,0.165895,0.137331,-5.680729,39.360229
0.9505455,-0.011642,-0.018743,0.048142,0.015865,-8.462194,5.560379
0.9699445,-0.090225,-0.047174,-0.182116,-0.205516,-1.814659,-9.080307
0.9893439,-0.002246,-0.065722,0.152594,0.122182,-6.828972,37.493713
1.0087436,-0.066675,-0.068040,0.002872,-0.023331,-3.979693,5.585861
1.0281439,-0.064600,-0.041195,-0.063387,-0.091176,-4.591727,-5.350586
1.0475432,-0.044955,-0.071457,0.060345,0.032418,-5.057596,15.076370
1.0669410,-0.024821,-0.039853,0.010925,-0.019969,-6.941860,11.586777
1.0863386,-0.096692,-0.069260,-0.029953,-0.052568,-2.257285,-2.245255
1.1057380,-0.010666,-0.045832,0.047898,0.016706,-7.275856,24.940826
1.1251377,-0.065943,-0.066332,-0.007134,-0.033466,-4.008004,5.192032
1.1445357,-0.044710,-0.039487,0.013488,-0.016322,-6.103438,0.876694
1.1639344,-0.058499,-0.064135,0.000675,-0.026512,-4.474662,6.946747
1.1833341,-0.024455,-0.035948,0.029107,-0.002031,-7.192312,9.452133
1.2027333,-0.070091,-0.063403,-0.013479,-0.039612,-3.886255,2.737747
1.2221324,-0.031288,-0.028871,0.023616,-0.007481,-7.144496,0.550644
1.2415320,-0.045809,-0.063525,0.012145,-0.016090,-5.093296,11.780792
1.2609309,-0.060329,-0.023380,-0.002863,-0.032124,-5.686499,-14.075790
1.2803292,-0.024577,-0.061207,0.022640,-0.006997,-6.004907,21.643280
1.2997279,-0.080097,-0.026674,0.005800,-0.021548,-4.577448,-16.461823
1.3191286,-0.014815,-0.042537,0.002628,-0.028516,-7.147884,20.119095
1.3385295,-0.084978,-0.034240,0.033866,0.007154,-4.337819,-13.695129
1.3579278,-0.024089,-0.014228,-0.031417,-0.063242,-7.786044,-8.048019
1.3773257,-0.065943,-0.051933,0.069985,0.042194,-5.010447,-0.700119
1.3967247,-0.048737,0.005540,-0.039958,-0.070563,-6.586420,-33.186768
1.4161249,-0.049225,-0.039975,0.041431,0.011852,-6.011953,-0.705963
1.4355230,-0.052032,-0.025332,0.022640,-0.007294,-6.213645,-10.513962
1.4549216,-0.048615,0.001513,-0.024095,-0.054728,-6.645502,-29.823074
