Keuwl Accelerometer Data File
2021-04-11 16-51-16

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.137642,-0.110553,0.837935,0.856330,11.897542,218.771133
0.0194060,-0.027211,-0.094934,1.102847,1.107260,5.117033,254.005981
0.0388107,-0.146306,-0.113604,0.858557,0.878311,12.174919,217.828644
0.0582160,-0.038803,-0.104208,1.015357,1.021427,6.249903,249.576416
0.0776203,-0.158264,-0.102866,0.946779,0.965412,11.275048,213.022308
0.0970244,-0.027333,-0.110553,0.943973,0.950817,6.879000,256.112640
0.1164313,-0.143866,-0.097863,1.017797,1.032562,9.701095,214.225006
0.1358368,-0.075166,-0.114336,0.874297,0.884940,8.894856,236.678391
0.1552391,-0.081146,-0.095788,1.077588,1.084876,6.644995,229.730942
0.1746434,-0.133494,-0.115068,0.836958,0.855313,11.891279,220.760498
0.1940485,-0.039780,-0.097985,1.082958,1.088109,5.577313,247.903946
0.2134526,-0.159607,-0.110065,0.870637,0.891962,12.554069,214.590240
0.2328570,-0.018792,-0.105672,1.017675,1.023319,6.020504,259.916565
0.2522623,-0.170955,-0.097253,0.955565,0.975596,11.630609,209.634659
0.2716678,-0.038437,-0.113726,0.920056,0.927855,7.433739,251.325623
0.2910723,-0.113604,-0.092006,1.050255,1.060380,7.924219,219.003387
0.3104772,-0.116776,-0.116898,0.842449,0.858500,11.096788,225.029922
0.3298831,-0.040634,-0.097131,1.092231,1.097294,5.506091,247.298401
0.3492887,-0.166684,-0.105550,0.845988,0.868689,13.127308,212.343445
0.3686925,-0.017327,-0.092616,1.039639,1.043900,5.178617,259.403137
0.3880967,-0.165464,-0.088101,0.926524,0.945297,11.437816,208.032990
0.4075010,-0.026235,-0.098473,0.944461,0.949943,6.158420,255.081848
0.4269073,-0.143499,-0.075899,1.025728,1.038495,8.993222,207.874878
0.4463119,-0.074312,-0.096276,0.854164,0.862779,8.103604,232.336777
0.4657148,-0.078583,-0.071994,1.089547,1.094747,5.586688,222.494324
0.4851186,-0.136666,-0.085904,0.832687,0.848190,10.971134,212.152298
0.5045230,-0.032824,-0.077119,1.084300,1.087534,4.420048,246.943802
0.5239260,-0.158752,-0.072238,0.877836,0.894996,11.237608,204.467178
0.5433292,-0.022696,-0.078583,1.020848,1.024119,4.581035,253.890228
0.5627329,-0.167782,-0.064550,0.957761,0.974487,10.630675,201.043091
0.5821384,-0.025137,-0.087613,0.939092,0.943505,5.543725,253.991379
0.6015410,-0.142767,-0.055887,1.045862,1.057040,8.339743,201.378006
0.6209439,-0.089931,-0.081878,0.858434,0.867007,8.063848,222.316223
0.6403463,-0.060158,-0.063818,1.105288,1.108762,4.536780,226.691315
0.6597500,-0.161803,-0.074434,0.835128,0.853908,12.038795,204.703857
0.6791536,-0.015375,-0.077119,1.088449,1.091285,4.132280,258.724945
0.6985577,-0.177178,-0.062598,0.892845,0.912405,11.885195,199.458603
0.7179630,-0.017083,-0.081878,0.996565,1.000069,4.797507,258.214661
0.7373688,-0.158630,-0.059669,0.995833,1.010152,9.658687,200.613983
0.7567723,-0.046003,-0.085538,0.890649,0.895929,6.223433,241.728500
0.7761750,-0.105550,-0.053934,1.084300,1.090759,6.238599,207.066238
0.7955789,-0.119217,-0.075777,0.823902,0.835924,9.729003,212.440826
0.8149830,-0.031848,-0.057107,1.114195,1.116112,3.358588,240.851929
0.8343874,-0.170467,-0.073214,0.832687,0.853105,12.560430,203.243134
0.8537927,-0.013789,-0.069431,1.068559,1.070901,3.790029,258.767548
0.8731976,-0.167904,-0.067479,0.900044,0.918055,11.367909,201.894684
0.8926027,-0.025991,-0.069919,0.989244,0.992052,4.312207,249.608505
0.9120073,-0.152773,-0.067235,0.972648,0.986866,9.737547,203.754089
