Keuwl Accelerometer Data File
2021-04-11 16-46-11

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.094504,0.012964,0.023896,0.012538,-4.079337,-22.807465
0.0193884,-0.075713,0.025654,-0.011734,-0.023919,-5.278865,-13.235046
0.0387774,-0.071686,0.011011,0.001688,-0.010110,-4.622592,4.235428
0.0581675,-0.074493,0.023824,-0.005755,-0.017917,-5.236732,-9.077011
0.0775541,-0.069978,0.013940,-0.031136,-0.043038,-4.743554,5.455048
0.0969420,-0.081448,0.014916,-0.003193,-0.014962,-4.575372,-11.167068
0.1163294,-0.066927,0.007351,-0.004779,-0.016470,-4.461248,12.071503
0.1357186,-0.097067,-0.009977,0.037441,0.027218,-3.001445,-10.889542
0.1551082,-0.071442,0.016014,0.019626,0.007636,-4.943475,2.115234
0.1744972,-0.078763,0.006741,-0.062862,-0.074302,-4.047905,-2.701508
0.1938859,-0.080228,0.009425,0.068191,0.056532,-4.507939,-5.907745
0.2132729,-0.077909,0.012842,-0.017713,-0.029469,-4.537134,-5.213013
0.2326596,-0.092796,0.015770,-0.009294,-0.020768,-4.171724,-23.733047
0.2520488,-0.063144,0.012720,0.038661,0.026711,-4.896895,16.662323
0.2714387,-0.085109,0.014550,-0.017591,-0.029247,-4.396401,-15.113403
0.2908270,-0.085475,0.025166,0.021090,0.009105,-4.936442,-26.301819
0.3102145,-0.078153,0.013696,-0.005877,-0.017669,-4.604740,-6.102066
0.3296046,-0.083766,0.022360,0.012426,0.000474,-4.874435,-21.006958
0.3489926,-0.075713,0.021505,-0.001118,-0.013203,-5.090113,-8.830139
0.3683816,-0.084376,0.015770,-0.003559,-0.015288,-4.516897,-15.315033
0.3877689,-0.072662,0.023214,0.013036,0.000856,-5.289178,-5.199844
0.4071577,-0.083156,0.011988,-0.013076,-0.024692,-4.348459,-10.969330
0.4265472,-0.082180,0.015648,0.008399,-0.003388,-4.615265,-12.643921
0.4459339,-0.069246,0.013696,-0.004657,-0.016576,-4.800796,6.695969
0.4653217,-0.085963,0.008083,0.003885,-0.007524,-4.110981,-11.286819
0.4847098,-0.075713,0.011378,0.005105,-0.006653,-4.569108,-1.448135
0.5040993,-0.083034,0.003690,-0.006243,-0.017522,-3.942809,-5.726166
0.5234891,-0.079984,0.007961,0.018283,0.006724,-4.317014,-4.766251
0.5428783,-0.076689,0.003446,-0.007342,-0.018738,-4.078923,1.205154
0.5622689,-0.086817,0.010279,0.013158,0.001674,-4.215513,-13.649918
0.5816581,-0.060216,0.009303,0.005227,-0.006576,-4.634486,21.409271
0.6010470,-0.099141,0.003446,0.008521,-0.002256,-3.442234,-19.574310
0.6204355,-0.065951,0.014428,0.003275,-0.008700,-4.901845,11.723633
0.6398239,-0.080838,0.011866,0.014135,0.002445,-4.483275,-8.196960
0.6592125,-0.081326,0.028095,-0.012100,-0.024231,-5.169101,-25.105194
0.6786026,-0.078519,0.012720,0.006081,-0.005679,-4.572363,-5.916077
0.6979919,-0.111588,0.023092,-0.014053,-0.024914,-3.484367,-42.500900
0.7173795,-0.048990,0.017479,0.018650,0.006611,-5.026171,41.517548
0.7367663,-0.104998,0.010767,-0.010880,-0.021677,-3.427049,-28.666290
0.7561530,-0.072906,0.027241,0.015965,0.003694,-5.491459,-9.961929
0.7755419,-0.076323,0.011866,-0.010148,-0.021902,-4.543973,-2.533936
0.7949300,-0.089379,0.013208,0.012304,0.000786,-4.257224,-18.412613
0.8143174,-0.070344,0.020407,0.004739,-0.007389,-5.178199,1.282745
0.8337039,-0.091698,0.006985,-0.004535,-0.015717,-3.837101,-15.954483
0.8530905,-0.066317,0.013330,0.016819,0.004876,-4.863059,11.443909
0.8724773,-0.089746,0.009059,-0.007463,-0.018790,-3.996158,-15.622681
0.8918655,-0.081570,0.013086,0.014013,0.002295,-4.522288,-9.928864
0.9112524,-0.067293,0.007473,-0.004169,-0.015862,-4.466277,11.542206
0.9306399,-0.094626,0.004422,0.006325,-0.004662,-3.647538,-16.737015
0.9500280,-0.072296,0.017601,0.002542,-0.009478,-4.978614,-0.211960
0.9694178,-0.084132,0.005398,-0.002949,-0.014282,-4.011080,-7.783844
0.9888057,-0.080716,0.012720,0.010596,-0.001124,-4.521225,-8.642410
1.0081935,-0.081204,0.015526,-0.005145,-0.016939,-4.608893,-11.351364
1.0275807,-0.090844,0.012842,0.005105,-0.006348,-4.165383,-19.498077
