Keuwl Accelerometer Data File
2021-04-11 16-42-49

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.009741,-0.048957,0.032261,0.028343,-1.090783,80.455750
0.0193900,-0.037562,-0.042856,-0.061942,-0.066623,-1.525895,59.594604
0.0387799,-0.013280,-0.052130,0.037630,0.033799,-1.037442,77.040924
0.0581705,-0.036464,-0.052862,-0.009227,-0.013327,-1.141712,59.597900
0.0775619,-0.022188,-0.047859,-0.005079,-0.009325,-1.268955,71.757813
0.0969535,-0.024506,-0.049445,-0.002760,-0.006953,-1.230300,69.571198
0.1163433,-0.025726,-0.048835,0.003585,-0.000691,-1.311083,68.750000
0.1357350,-0.003396,-0.049445,-0.002516,-0.006052,-0.730720,84.378693
0.1551255,-0.052937,-0.054326,-0.008739,-0.012724,-1.052178,46.572235
0.1745170,-0.007301,-0.048713,0.012859,0.009069,-0.952463,82.161255
0.1939069,-0.035854,-0.049445,-0.028873,-0.033164,-1.253969,60.416168
0.2132979,-0.018893,-0.052740,0.034457,0.030522,-1.108848,72.958557
0.2326874,-0.022432,-0.049567,-0.036805,-0.040849,-1.035065,71.140106
0.2520771,-0.026702,-0.052252,0.025427,0.021315,-1.225658,67.297699
0.2714675,-0.020845,-0.052618,-0.016183,-0.020027,-0.926928,71.582794
0.2908587,-0.033414,-0.049567,-0.001052,-0.005381,-1.345244,62.416718
0.3102503,-0.013036,-0.047981,0.006636,0.002616,-1.113684,78.515076
0.3296430,-0.035732,-0.052130,-0.018379,-0.022501,-1.139415,60.247955
0.3490357,-0.025116,-0.022356,0.021888,0.016140,-2.805328,78.464905
0.3684282,-0.025726,-0.009300,-0.024724,-0.030907,-3.384089,87.044525
0.3878206,-0.024872,-0.009422,0.018228,0.012039,-3.437899,88.127594
0.4072120,-0.029997,-0.000880,-0.012766,-0.019236,-3.966631,89.701904
0.4266056,-0.033536,0.004245,0.001755,-0.004854,-4.353968,90.302643
0.4459983,-0.022554,0.003879,0.014079,0.007655,-3.883540,109.368286
0.4653893,-0.031827,0.009980,-0.009106,-0.015759,-4.506468,108.893646
0.4847788,-0.031949,0.013153,0.008710,0.002030,-4.619281,119.814423
0.5041701,-0.029631,0.016569,-0.001784,-0.008444,-4.532570,135.759827
0.5235611,-0.025848,0.013031,0.007002,0.000418,-4.279816,126.759705
0.5429501,-0.030851,0.016081,-0.000808,-0.007484,-4.600069,133.049622
0.5623428,-0.029143,0.016325,0.011028,0.004375,-4.513691,135.095032
0.5817342,-0.033414,0.014007,0.002243,-0.004458,-4.713153,120.780334
0.6011257,-0.033414,0.013885,-0.008373,-0.015073,-4.702475,120.233612
0.6205173,-0.025360,0.018888,0.015299,0.008708,-4.307303,-215.536728
0.6399106,-0.035000,0.002659,-0.003126,-0.009724,-4.318420,83.665680
0.6593041,-0.027801,0.007784,0.007490,0.000915,-4.254856,110.256073
0.6786968,-0.027679,0.012176,0.012615,0.006003,-4.371064,122.429962
0.6980886,-0.034634,0.008638,-0.004590,-0.011264,-4.587033,97.638306
0.7174813,-0.029509,0.009980,0.004561,-0.002062,-4.404174,113.304535
0.7368728,-0.035000,0.012420,0.009686,0.002977,-4.756722,110.013763
0.7562658,-0.037318,0.001438,-0.003248,-0.009845,-4.314104,75.507813
0.7756577,-0.032804,0.003635,-0.001540,-0.008130,-4.295590,90.968414
