Keuwl Accelerometer Data File
2021-04-11 16-40-05

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.124952,0.621343,0.764843,0.993310,39.646652,101.370506
0.0193914,-0.142035,0.642941,0.700536,0.961404,43.225887,102.457405
0.0387839,-0.105916,0.646114,0.709322,0.965308,42.708469,99.309593
0.0581758,-0.065771,0.679914,0.713349,0.987662,43.758598,95.525238
0.0775683,-0.108479,0.650385,0.693947,0.957251,43.536385,99.469292
0.0969609,-0.115922,0.643063,0.744221,0.990370,41.283237,100.218719
0.1163547,-0.126904,0.647090,0.737997,0.989682,41.781467,101.095764
0.1357480,-0.132395,0.635254,0.737387,0.982250,41.347897,101.772682
0.1551413,-0.102134,0.647456,0.821705,1.051109,38.578838,98.964310
0.1745330,-0.085538,0.652337,0.829393,1.058656,38.423435,97.470352
0.1939259,-0.094812,0.649530,0.755813,1.001065,40.973907,98.304832
0.2133203,-0.083464,0.674179,0.708956,0.981887,43.777336,97.057358
0.2327151,-0.046247,0.707492,0.717619,1.008792,44.653893,93.739952
0.2521095,-0.041610,0.685527,0.729334,1.001802,43.279175,93.473465
0.2715035,-0.075777,0.661977,0.710664,0.974166,43.154621,96.530228
0.2908977,-0.094812,0.663929,0.719938,0.983922,42.970688,98.127151
0.3102926,-0.086759,0.684185,0.731896,1.005638,43.298332,97.226868
0.3296848,-0.099815,0.671983,0.735191,1.001014,42.739582,98.448837
0.3490779,-0.119217,0.666980,0.751786,1.012056,42.026897,100.134102
0.3684716,-0.124830,0.669664,0.751420,1.014231,42.193867,100.559128
0.3878652,-0.110187,0.662709,0.689554,0.962709,44.253109,99.440079
0.4072583,-0.110065,0.703099,0.622441,0.945460,48.826050,98.897041
0.4266510,-0.087003,0.740926,0.620611,0.970412,50.242943,96.697243
0.4460456,-0.027333,0.733605,0.606334,0.952136,50.445316,92.133789
0.4654392,0.044783,0.746173,0.619025,0.970552,50.371521,86.565437
0.4848345,0.119461,0.724941,0.668810,0.993538,47.688553,80.642494
0.5042292,0.141181,0.620611,0.685283,0.935256,42.884846,77.184052
0.5236228,0.137276,0.503590,0.714325,0.884708,36.156044,74.751930
0.5430184,0.194749,0.514939,0.698218,0.889155,38.255299,69.283432
0.5624133,0.314088,0.533974,0.705539,0.938917,41.284798,59.535599
0.5818055,0.209636,0.336663,0.983264,1.060235,21.966543,58.089916
0.6011997,0.314454,0.238434,1.177037,1.241430,18.534912,37.171082
0.6205932,0.366314,0.254175,0.909562,1.012963,26.113710,34.755650
0.6399872,0.292124,0.356674,0.653557,0.799806,35.200050,50.681782
0.6593798,0.302252,0.348011,0.151797,0.485294,71.772293,49.025249
0.6787713,0.164854,0.058571,0.381079,0.419319,24.659367,19.559734
0.6981627,0.213541,-0.097741,0.917738,0.947310,14.353813,335.405762
0.7175537,0.434891,-0.025869,1.306382,1.377111,18.442804,356.595856
0.7369456,0.279067,0.000122,1.312117,1.341466,12.007038,0.025053
0.7563386,0.310672,-0.105184,1.015479,1.067135,17.900209,341.295441
0.7757320,0.330073,-0.222693,1.150314,1.217277,19.092850,325.993378
0.7951248,0.070530,-0.131175,1.086740,1.096898,7.803560,298.265778
0.8145190,-0.151065,-0.035753,1.022190,1.033910,8.635427,193.315308
0.8339137,-0.227940,0.054056,1.025606,1.052020,12.866365,166.658661
0.8533084,-0.228672,0.120071,1.086496,1.116773,13.371987,152.296936
0.8727022,-0.238312,0.176446,1.177160,1.213932,14.138461,143.483765
0.8920957,-0.354600,0.230136,1.133231,1.209511,20.457222,147.016342
0.9114919,-0.526897,0.297615,1.167764,1.315244,27.393406,150.540283
0.9308869,-0.651971,0.348499,1.262820,1.463295,30.345156,151.874115
0.9502820,-0.678450,0.384496,1.387406,1.591548,29.339302,150.458618
0.9696755,-0.572900,0.320555,1.281856,1.440182,27.118574,150.771622
0.9890701,-0.352281,0.307865,2.197275,2.246531,12.020065,138.849228
1.0084630,0.021964,0.233065,1.679652,1.695887,7.934344,84.616295
1.0278572,-0.050274,0.232211,0.727503,0.765317,18.086164,102.216019
1.0472516,-0.048077,0.045271,1.389114,1.390683,2.721748,136.722092
1.0666456,-0.017815,0.082122,1.057088,1.060423,4.545105,102.240028
1.0860400,-0.296151,-0.009152,0.863071,0.912514,18.947329,181.770004
1.1054332,-0.187306,-0.326046,0.908830,0.983546,22.476782,240.123672
1.1248267,-0.021720,-0.185354,0.911149,0.930064,11.575254,263.316437
1.1442209,0.258690,-0.093226,0.872589,0.914890,17.490984,340.181976
1.1636152,0.268940,-0.388644,0.849161,0.971827,29.099314,304.682983
1.1830084,0.053446,-0.445629,0.803280,0.920163,29.193750,276.839050
1.2024019,0.062232,-0.398650,1.295888,1.357248,17.294121,278.872620
1.2217938,0.198288,-0.199386,2.109296,2.127958,7.593599,314.841766
1.2411883,-0.219154,-0.024405,0.040878,0.224266,79.497749,186.354202
1.2605829,-0.039170,0.073824,-0.030506,0.088965,110.053368,117.949463
1.2799761,0.248318,0.016107,1.451468,1.472644,9.728214,3.711284
1.2993712,-0.031360,-0.054544,1.305894,1.307409,2.758325,240.103500
1.3187678,0.035143,-0.136178,1.352751,1.360042,5.935476,284.470306
1.3381635,-0.124342,-0.040146,1.083568,1.091417,6.875777,197.893478
1.3575568,-0.089931,0.069919,0.385960,0.402419,16.443655,142.135788
1.3769493,0.038803,0.053812,0.780461,0.783276,4.858776,54.205063
1.3963436,-0.078705,-0.049419,1.351287,1.354479,3.934326,212.125000
1.4157391,-0.108967,-0.040634,0.850259,0.858175,7.788480,200.450500
1.4351344,-0.080413,-0.052592,1.235243,1.238974,4.447833,213.185532
1.4545302,-0.010128,0.041000,0.838301,0.839364,2.883984,103.875641
1.4739258,-0.057229,0.023917,0.723233,0.725887,4.901809,157.319443
1.4933220,-0.089321,-0.037217,1.131279,1.135410,4.888922,202.619858
1.5127181,-0.049419,-0.033312,1.091865,1.093490,3.124306,213.982895
