Keuwl Accelerometer Data File
2021-04-11 16-38-02

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.040024,0.475769,0.836226,0.962929,29.724525,94.808632
0.0193937,-0.042464,0.491754,0.823170,0.959809,30.947504,94.935379
0.0387871,-0.009762,0.494073,0.826098,0.962622,30.887716,91.131897
0.0581816,-0.005369,0.494927,0.825244,0.962294,30.954031,90.621529
0.0775742,-0.018914,0.504933,0.835982,0.976822,31.149721,92.145164
0.0969659,-0.017693,0.513230,0.855018,0.997384,30.989601,91.974464
0.1163587,-0.023306,0.515061,0.856238,0.999487,31.054449,92.590866
0.1357509,-0.048809,0.514573,0.830613,0.978307,31.893597,95.418533
0.1551452,-0.056131,0.491632,0.798399,0.939305,31.789515,96.513382
0.1745387,-0.014277,0.510302,0.804378,0.952699,32.401402,91.602547
0.1939337,0.027089,0.543126,0.901265,1.052615,31.105757,87.144653
0.2133275,0.037461,0.566677,0.990586,1.141834,29.826105,86.217865
0.2327196,0.102866,0.602185,0.933235,1.115408,33.209297,80.306259
0.2521105,0.158996,0.632203,0.857702,1.077318,37.236370,75.883118
0.2715037,0.181815,0.641599,0.817435,1.054943,39.207542,74.178452
0.2908969,0.174371,0.620611,0.737021,0.979165,41.174850,74.306374
0.3102911,0.143744,0.557525,0.694313,0.901979,39.667122,75.542603
0.3296863,0.140327,0.539343,0.744709,0.930147,36.809189,75.416069
0.3490795,0.155702,0.556793,0.773262,0.965503,36.784760,74.376854
0.3684722,0.157288,0.537513,0.827074,0.998855,34.103886,73.689362
0.3878655,0.171687,0.463689,0.881253,1.010490,29.295893,69.682266
0.4072586,0.234651,0.396332,0.943973,1.050345,26.008839,59.372063
0.4266520,0.245389,0.471132,0.977407,1.112433,28.523470,62.487267
0.4460431,0.198288,0.521650,0.939336,1.092606,30.714809,69.187355
0.4654351,0.123610,0.427204,0.964839,1.062401,24.746609,73.862419
0.4848264,0.181449,0.252344,1.119442,1.161789,15.517041,54.281891
0.5042209,0.225499,0.239410,1.101261,1.149323,16.628056,46.713852
0.5236126,0.202559,0.343130,0.910538,0.993906,23.634468,59.445492
0.5430038,0.189746,0.382299,0.767405,0.878104,29.080931,63.603443
0.5623976,0.116654,0.248196,0.646846,0.702580,22.975477,64.826019
0.5817929,0.044661,0.177666,0.398040,0.438173,24.713686,75.889709
0.6011873,0.007809,0.148136,0.598403,0.616515,13.922771,86.982262
0.6205808,0.164243,0.116288,0.801816,0.826684,14.089318,35.299404
0.6399733,0.283094,0.092128,0.898946,0.946961,18.323536,18.026495
0.6593673,0.399993,0.198044,0.803768,0.919379,29.043592,26.340887
0.6787619,0.526409,0.181327,0.865146,1.028816,32.763264,19.006775
0.6981550,0.607676,0.158508,0.993392,1.175255,32.300518,14.619471
0.7175486,0.456856,0.234285,1.135427,1.246115,24.331886,27.149683
0.7369409,0.225987,0.038071,1.132255,1.155215,11.442258,9.562630
0.7563330,0.070896,0.088833,0.894798,0.901987,7.238797,51.407436
0.7757246,0.131785,0.140205,0.750200,0.774483,14.385641,46.773056
0.7951171,0.120071,0.005247,0.900044,0.908033,7.605891,2.502187
0.8145109,-0.058937,0.046491,1.142993,1.145455,3.757548,141.732925
0.8339032,-0.156190,0.105916,1.134329,1.149920,9.445646,145.857819
0.8532954,-0.122023,0.102012,0.964107,0.977138,9.367623,140.104370
0.8726906,-0.099937,0.092006,0.820729,0.831895,9.397893,137.366257
0.8920866,-0.065649,0.105184,0.860387,0.869275,8.200397,121.969521
0.9114817,-0.033556,0.084562,0.872467,0.877198,5.953053,111.644440
0.9308753,-0.032092,-0.071384,0.864414,0.867950,5.173544,245.792618
0.9502689,0.038925,-0.072604,0.942265,0.945859,4.996575,298.197296
0.9696626,0.184011,-0.017205,1.037931,1.054256,10.096271,354.658295
0.9890552,0.820851,0.112262,2.789821,2.910240,16.539835,7.787591
1.0084487,-0.123244,-0.599257,0.339225,0.699551,60.992882,258.378540
1.0278432,0.277115,0.162169,0.893821,0.949741,19.759319,30.336370
1.0472364,0.312136,0.112750,1.505158,1.541312,12.434301,19.860718
1.0666302,0.000976,-0.284803,0.744831,0.797425,20.925587,270.196381
1.0860238,0.029408,-0.340811,1.004740,1.061377,18.801855,274.931671
1.1054153,-0.064184,-0.327511,0.904315,0.963934,20.256765,258.911926
1.1248090,0.083586,-0.196336,0.933357,0.957439,12.877848,293.060913
1.1442039,0.158874,-0.160095,0.908708,0.936281,13.939466,314.780823
1.1635976,0.220008,-0.122389,1.007059,1.038051,14.035966,330.913025
1.1829919,0.061378,-0.136422,0.884181,0.896747,9.602877,294.223480
1.2023877,0.172785,-0.041000,0.978017,0.994009,10.291321,346.651276
1.2217830,0.400725,-0.230868,1.857806,1.914503,13.978781,330.052612
1.2411752,-0.195359,-0.288341,0.927622,0.990852,20.579432,235.881241
1.2605693,-0.168514,0.143499,0.382665,0.442066,30.045240,139.583725
1.2799641,-0.040878,0.072238,-0.172297,0.191247,154.278168,119.504585
1.2993577,-0.253565,-0.151431,0.613900,0.681248,25.691744,210.846024
1.3187515,0.035875,-0.090297,2.033154,2.035474,2.736022,291.667786
1.3381454,0.122145,0.023917,1.364832,1.370495,5.210640,11.078590
1.3575381,-0.014521,0.055643,1.057088,1.058652,3.113887,104.625984
1.3769302,0.013667,0.067113,0.458442,0.463530,8.497014,78.489876
1.3963248,-0.059059,0.007199,1.009743,1.011495,3.372085,173.049881
1.4157197,0.010250,-0.029164,1.201686,1.202084,1.473659,289.364746
1.4351144,-0.007321,-0.013301,1.157392,1.157491,0.751474,241.169037
1.4545088,-0.031970,0.053202,0.641233,0.644230,5.528822,121.002388
1.4739026,-0.018548,0.015131,0.970940,0.971235,1.412362,140.792801
1.4932970,-0.004271,-0.015741,1.165811,1.165925,0.801619,254.820068
1.5126911,-0.017693,0.014521,0.974357,0.974625,1.345666,140.624634
