Keuwl Accelerometer Data File
2021-04-11 16-44-25

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.020909,-0.018202,0.016707,0.005150,-3.353050,55.511200
0.0193932,0.037992,-0.003437,-0.000620,-0.012115,-3.265650,68.395874
0.0387853,0.011391,-0.006122,-0.004403,-0.017320,-4.128032,54.694031
0.0581796,0.019567,-0.008440,0.018171,0.005755,-3.865684,58.189392
0.0775727,0.028840,0.005958,-0.015019,-0.027720,-3.956442,68.745361
0.0969655,0.043117,0.000467,-0.045403,-0.056512,-2.904757,71.980347
0.1163579,0.018346,-0.003925,-0.016239,-0.028910,-3.933429,59.297333
0.1357496,0.011513,-0.027964,0.099439,0.087845,-3.602923,48.236603
0.1551421,0.017248,-0.003437,-0.047721,-0.060354,-3.819802,58.917114
0.1745344,0.036406,-0.007708,-0.018558,-0.029756,-3.043223,66.048218
0.1939275,0.010903,-0.020887,0.041844,0.029883,-3.655755,49.759247
0.2133208,0.027742,-0.006976,-0.023072,-0.034912,-3.397479,62.643738
0.2327122,0.013831,-0.015030,-0.005867,-0.017957,-3.598505,53.001099
0.2521053,0.029206,-0.015030,0.027323,0.015948,-3.282317,60.332642
0.2714985,0.010903,-0.005756,-0.032346,-0.045203,-4.012529,54.551422
0.2908930,0.016394,-0.018446,0.018293,0.006505,-3.490191,53.247345
0.3102869,0.009195,-0.012101,0.001088,-0.011494,-3.923635,51.430237
0.3296806,0.017736,-0.009294,-0.012456,-0.024773,-3.718543,56.950714
0.3490736,0.034819,-0.014297,0.013046,0.002070,-3.022081,62.951263
0.3684667,0.013587,-0.004047,-0.007575,-0.020524,-4.140821,56.698517
0.3878601,0.027498,-0.015762,0.005115,-0.006189,-3.176257,59.331573
0.4072537,0.015784,-0.009172,0.005359,-0.007149,-3.888552,55.983124
0.4266452,0.003582,-0.008562,-0.010382,-0.023436,-4.204394,49.283691
0.4460359,0.015418,-0.012101,0.008287,-0.004025,-3.774271,54.778564
0.4654275,0.023471,-0.006488,-0.005501,-0.017733,-3.685974,60.845581
0.4848164,0.024936,-0.015396,0.005115,-0.006380,-3.282980,58.302490
0.5042074,0.023105,-0.009538,0.001698,-0.010358,-3.599942,59.515381
0.5236009,0.019933,-0.008318,-0.002817,-0.015130,-3.743709,58.417755
0.5429960,0.018346,-0.019788,0.004505,-0.006994,-3.283678,53.797089
0.5623901,0.019201,-0.000143,-0.001108,-0.014058,-4.157924,61.301056
0.5817824,0.012245,-0.014175,-0.006721,-0.018957,-3.684906,52.435760
0.6011741,0.026278,-0.011613,0.006701,-0.005024,-3.419686,60.237274
0.6205683,0.008340,-0.006976,-0.004647,-0.017641,-4.178876,52.643066
0.6399617,0.015296,-0.017714,-0.001596,-0.013405,-3.443888,52.920410
0.6593546,0.032013,-0.006122,0.008044,-0.003731,-3.451910,64.856598
0.6787469,0.005778,-0.015274,-0.008308,-0.020739,-3.802387,48.558777
0.6981413,0.023471,-0.010271,0.008654,-0.003357,-3.592795,59.420868
0.7175356,0.017980,-0.005878,-0.007698,-0.020281,-3.900727,58.345306
0.7369291,0.014076,-0.016616,0.004383,-0.007611,-3.570429,52.634644
0.7563232,0.021275,-0.004658,0.001942,-0.010586,-3.891880,60.493073
0.7757168,0.013831,-0.010027,-0.006233,-0.018726,-3.846690,54.649689
0.7951108,0.023715,-0.012467,0.008532,-0.003292,-3.482048,58.748291
0.8145042,0.012489,-0.003315,-0.004525,-0.017593,-4.229135,56.368378
0.8338981,0.016028,-0.014175,0.001698,-0.010385,-3.616445,54.405548
0.8532929,0.024692,-0.007586,0.005359,-0.006767,-3.652428,61.001160
0.8726866,0.009561,-0.010515,-0.003671,-0.016342,-3.967949,52.146027
0.8920790,0.020299,-0.012223,0.004627,-0.007396,-3.588244,57.197083
0.9114724,0.022617,-0.006854,-0.003061,-0.015327,-3.714425,60.292236
0.9308663,0.011147,-0.017470,0.001088,-0.010960,-3.593635,50.854309
0.9502602,0.021275,-0.008928,0.000356,-0.011848,-3.685653,58.855713
0.9696530,0.018712,-0.009538,-0.002450,-0.014739,-3.730016,57.358826
0.9890453,0.019811,-0.018446,0.002430,-0.009093,-3.291216,54.912170
1.0084389,0.015174,-0.005024,-0.002695,-0.015511,-4.065557,57.189972
1.0278317,0.017736,-0.015030,0.000234,-0.011681,-3.511759,54.987976
1.0472236,0.025668,-0.010881,0.006823,-0.004998,-3.475767,60.223724
1.0666162,0.013954,-0.006854,-0.006233,-0.018963,-3.998960,55.843811
1.0860103,0.019811,0.002420,0.002675,-0.010425,-4.268906,62.739716
1.1054046,0.021885,0.023774,-0.000620,-0.014743,-5.019188,75.466156
1.1247977,0.013099,0.029265,0.003651,-0.011176,-5.642970,74.719269
1.1441917,0.023959,0.036342,0.001088,-0.013375,-5.308260,85.398621
1.1635855,0.015662,0.048179,-0.001108,-0.016321,-6.022018,92.808289
1.1829793,0.009805,0.042321,0.014877,-0.000522,-6.252038,84.327057
1.2023729,0.020787,0.045738,-0.002328,-0.017210,-5.684561,92.191132
1.2217673,0.013709,0.049643,-0.002573,-0.017908,-6.154182,93.645050
1.2411633,0.017370,0.051595,0.017439,0.002234,-6.044656,96.814941
1.2605575,0.013099,0.047446,0.003041,-0.012295,-6.162512,91.105896
1.2799517,0.014686,0.055378,-0.004403,-0.019764,-6.180088,100.159698
1.2993470,0.027742,0.058795,0.019270,0.004588,-5.536533,105.603333
1.3187398,0.006510,0.056964,-0.009772,-0.025530,-6.659563,100.025940
1.3381321,0.016272,0.060503,0.013290,-0.002053,-6.187968,106.110535
1.3575240,0.026522,0.059161,0.018293,0.003535,-5.605301,105.818054
1.3769168,0.014930,0.064408,-0.012700,-0.028092,-6.201105,110.420532
1.3963094,0.014442,0.061479,0.014877,-0.000567,-6.303870,107.022369
1.4157009,0.025180,0.060259,0.012192,-0.002644,-5.667065,106.721039
1.4350922,0.019811,0.063432,-0.007697,-0.022828,-5.924754,109.525421
1.4544848,0.008707,0.061479,0.012680,-0.003033,-6.630107,106.395905
1.4738766,0.036528,0.059405,0.015243,0.001163,-5.018343,106.847168
1.4932687,0.002361,0.056720,-0.015751,-0.031672,-6.883431,98.403320
1.5126610,0.019689,0.058185,0.018782,0.003628,-5.992615,104.067383
1.5320550,0.031037,0.058307,0.003041,-0.011386,-5.280411,105.492584
1.5514482,0.007608,0.057086,-0.013311,-0.029017,-6.587261,100.479645
1.5708386,0.013343,0.058307,0.020368,0.004881,-6.361489,103.205475
1.5902300,0.025546,0.058551,0.004871,-0.009918,-5.608963,105.151520
1.6096224,0.013831,0.055744,-0.011480,-0.026879,-6.212194,100.373535
1.6290160,0.015174,0.059161,0.020002,0.004600,-6.262518,104.473175
1.6484100,0.026888,0.054036,0.003163,-0.011495,-5.484962,101.208313
1.6678039,0.008340,0.055744,-0.003061,-0.018733,-6.555788,98.968048
1.6871958,0.018102,0.056354,0.008044,-0.007165,-6.032728,101.910858
1.7065907,0.022617,0.055622,0.010728,-0.004223,-5.774755,101.965576
1.7259843,0.012245,0.057818,-0.005501,-0.021006,-6.345478,102.430847
1.7453746,0.012489,0.056964,0.008287,-0.007215,-6.362943,101.477417
1.7647655,0.021641,0.057940,0.016829,0.001790,-5.872289,104.089050
1.7841579,0.022251,0.056354,-0.008430,-0.023375,-5.735480,102.616547
1.8035505,0.006510,0.053670,0.009996,-0.005746,-6.664131,95.742279
1.8229409,0.025546,0.053426,0.012924,-0.001830,-5.591454,100.422363
1.8423333,0.016272,0.046958,-0.006721,-0.021870,-5.945205,91.805176
1.8617253,0.015784,0.046958,0.008288,-0.006910,-6.021771,91.628204
1.8811178,0.030549,0.050253,0.015975,0.001579,-5.280210,98.616302
1.9005109,0.010659,0.045128,-0.011114,-0.026502,-6.199664,87.631622
1.9199044,0.018224,0.048057,0.013657,-0.001441,-5.926073,93.544037
1.9392970,0.029939,0.053548,0.014633,0.000153,-5.348830,101.279541
1.9586871,0.020055,0.050863,-0.016239,-0.031230,-5.766910,96.802765
1.9780785,0.016394,0.051717,0.022564,0.007298,-6.117070,96.669708
1.9974704,0.029450,0.056354,-0.001962,-0.016467,-5.338495,103.630280
2.0168629,0.023715,0.056964,-0.003183,-0.018055,-5.674131,103.424377
2.0362549,0.010537,0.053060,0.012558,-0.003000,-6.435331,96.384216
2.0556455,0.037870,0.061601,0.001332,-0.012622,-4.889303,108.657257
2.0750380,0.008829,0.063187,-0.008186,-0.023878,-6.575030,108.632477
2.0944300,0.020909,0.058673,0.015731,0.000647,-5.916191,104.726929
2.1138232,0.031525,0.072217,0.008654,-0.005758,-5.278908,-242.520325
2.1332161,0.012123,0.076488,-0.013555,-0.029026,-6.293308,-235.195084
2.1526101,0.018712,0.077464,0.025615,0.010440,-6.025543,-235.746613
2.1720040,0.020543,0.080271,0.007677,-0.007329,-5.824885,-233.404312
2.1913981,0.016760,0.088446,0.002186,-0.012862,-5.857216,-224.379578
2.2107904,0.020543,0.093815,0.010362,-0.004354,-5.551517,-221.262314
2.2301826,0.017004,0.096866,0.021222,0.006384,-5.684672,-217.175568
2.2495749,0.013465,0.096256,0.000478,-0.014523,-5.806145,-215.876083
2.2689674,0.027132,0.105163,0.014999,0.001056,-4.910212,-215.700394
2.2883601,0.011269,0.108580,0.007555,-0.007100,-5.491363,-205.294159
2.3077536,0.025790,0.109678,0.009996,-0.003824,-4.805277,-212.240524
2.3271458,0.016272,0.122979,0.018538,0.004835,-4.735827,-199.963379
2.3465376,0.021763,0.127616,0.009264,-0.003826,-4.279387,-200.648422
2.3659291,0.023471,0.134083,0.012070,-0.000502,-3.946941,-198.670639
2.3853209,0.023227,0.144089,0.009752,-0.002078,-3.489057,-194.748184
2.4047132,0.023959,0.147506,0.020734,0.009169,-3.369023,-193.925995
2.4241052,0.022983,0.149336,0.005847,-0.005543,-3.226536,-192.878357
2.4434979,0.027864,0.156779,0.012314,0.001847,-2.751972,-192.762192
2.4628913,0.016760,0.158366,0.005725,-0.005200,-2.971335,-187.335785
2.4822850,0.021397,0.160196,0.017439,0.006871,-2.820592,-188.979263
2.5016778,0.018956,0.162637,0.009386,-0.001031,-2.716737,-187.251816
2.5210710,0.016394,0.172642,0.003773,-0.005704,-2.231610,-183.821991
2.5404661,0.024692,0.175815,0.016585,0.007826,-1.943277,-186.615662
2.5598619,0.010903,0.172276,0.005725,-0.004078,-2.396522,-181.456528
2.5792570,0.020787,0.177401,0.017439,0.008624,-1.972005,-184.693848
2.5986493,0.010293,0.178255,-0.001230,-0.010340,-2.039758,-180.076538
2.6180410,0.020299,0.176547,0.018538,0.009591,-2.036083,-184.668228
2.6374350,0.005290,0.170324,0.010362,0.000072,-2.654991,-179.216370
2.6568277,0.020177,0.175205,0.005481,-0.003520,-2.013849,-184.896835
2.6762204,0.007852,0.173619,0.011704,0.001869,-2.433200,-179.812653
2.6956134,0.010049,0.173375,0.006823,-0.002907,-2.364866,-180.858612
2.7150083,0.017492,0.171422,0.017195,0.007548,-2.360642,-184.558578
2.7344017,0.007608,0.166663,0.003041,-0.007488,-2.753404,-181.034164
2.7537966,0.019811,0.168006,0.012314,0.002468,-2.440722,-186.332809
2.7731917,0.009561,0.165809,0.008165,-0.002396,-2.787339,-182.147827
2.7925882,0.020177,0.162026,0.010972,0.000553,-2.723193,-187.954971
2.8119843,0.013709,0.161172,0.018782,0.007892,-2.993254,-185.181274
2.8313773,0.020787,0.161660,0.005603,-0.004783,-2.688565,-188.322006
2.8507690,0.018346,0.167517,0.006823,-0.003116,-2.467713,-185.804321
2.8701634,0.024325,0.158610,0.001698,-0.008750,-2.707263,-190.708405
2.8895550,0.013954,0.168372,0.015487,0.005350,-2.595218,-183.644852
2.9089465,0.031891,0.168128,0.008288,-0.000772,-2.051072,-191.298523
2.9283400,0.019445,0.164223,-0.001230,-0.011392,-2.551411,-187.076691
2.9477324,0.023715,0.185821,0.008165,0.000585,-1.394414,-184.206268
2.9671252,0.033965,0.179476,0.000112,-0.007484,-1.368875,-189.376846
2.9865181,0.007486,0.182648,-0.008308,-0.016968,-1.805607,-178.123581
3.0059109,0.038236,0.200708,0.016341,0.011556,-0.325895,-186.636795
3.0253041,-0.000079,0.194973,-0.030394,-0.037573,-1.065626,-173.278351
3.0446970,0.027254,0.209249,0.007433,0.003207,-0.081518,-181.606201
3.0640898,-0.003252,0.210470,-0.006599,-0.011936,-0.430094,-170.533783
3.0834825,0.019567,0.221086,0.008043,0.005144,0.382545,-177.512970
3.1028762,-0.003618,0.234142,-0.009406,-0.010909,0.939105,-168.720856
