Keuwl Accelerometer Data File
2021-04-11 16-36-02

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.031360,0.606822,0.796203,1.001576,37.349529,87.041641
0.0193809,-0.011104,0.584248,0.733116,0.937512,38.557697,91.088821
0.0387640,0.015253,0.566555,0.713471,0.911184,38.462582,88.457840
0.0581481,0.028920,0.612069,0.723111,0.947815,40.277397,87.294853
0.0775303,0.006955,0.642819,0.758619,0.994368,40.278065,89.380081
0.0969113,-0.012812,0.662465,0.762402,1.010090,40.993279,91.107994
0.1162931,0.016839,0.604138,0.799619,1.002326,37.082905,88.403397
0.1356773,0.048077,0.539343,0.796935,0.963487,34.194378,84.906105
0.1550616,0.049786,0.551668,0.730066,0.916413,37.188019,84.843285
0.1744435,0.061622,0.597182,0.670640,0.900101,41.834709,84.108635
0.1938242,0.061134,0.603284,0.675399,0.907663,41.917473,84.213684
0.2132065,0.067723,0.592546,0.753982,0.961346,38.344135,83.479866
0.2325860,0.075654,0.585346,0.838179,1.025133,35.151814,82.635490
0.2519680,0.096276,0.587665,0.900044,1.079212,33.489929,80.695946
0.2713502,0.114092,0.582540,0.897360,1.075929,33.484791,78.918739
0.2907340,0.133250,0.556915,0.835982,1.013299,34.410488,76.544159
0.3101164,0.107137,0.551424,0.763012,0.947488,36.360767,79.004944
0.3294985,0.093104,0.562772,0.746539,0.939522,37.383003,80.606186
0.3488785,0.090907,0.576927,0.787539,0.980472,36.560921,81.045418
0.3682609,0.074190,0.568019,0.828905,1.007588,34.647751,82.558594
0.3876438,0.060158,0.566677,0.841351,1.016176,34.110420,83.940262
0.4070269,0.102866,0.589129,0.845744,1.035827,35.264858,80.095634
0.4264099,0.126904,0.598403,0.811211,1.015999,37.018890,78.026581
0.4457923,0.119339,0.592424,0.787539,0.992686,37.501106,78.610657
0.4651760,0.096887,0.597548,0.807673,1.009349,36.851624,80.790207
0.4845576,0.091273,0.565944,0.835738,1.013451,34.447372,80.838432
0.5039408,0.117509,0.551546,0.822804,0.997505,34.425552,77.972778
0.5233252,0.113604,0.561063,0.804256,0.987181,35.442295,78.553543
0.5427080,0.100547,0.553986,0.826830,1.000329,34.253227,79.712921
0.5620893,0.117875,0.578635,0.852943,1.037413,34.696053,78.485741
0.5814719,0.145330,0.593156,0.848551,1.045463,35.742477,76.233086
0.6008557,0.152529,0.583028,0.806941,1.007144,36.753574,75.339104
0.6202398,0.160095,0.599745,0.781560,0.998078,38.457958,75.054077
0.6396226,0.165464,0.593278,0.753250,0.973007,39.272251,74.416344
0.6590065,0.148747,0.594864,0.738119,0.959588,39.717484,75.960991
0.6783917,0.155336,0.585834,0.752152,0.965952,38.861595,75.149574
0.6977755,0.123488,0.555450,0.731286,0.926582,37.886391,77.465858
0.7171577,0.101645,0.592790,0.764843,0.972993,38.180065,80.270126
0.7365400,0.142645,0.627932,0.835372,1.054748,37.626144,77.201508
0.7559231,0.159973,0.607066,0.815726,1.029335,37.582211,75.237167
0.7753056,0.107137,0.575950,0.732140,0.937671,38.665436,79.462456
0.7946872,0.084684,0.578147,0.712861,0.921735,39.340714,81.666840
0.8140683,0.106160,0.576927,0.749590,0.951840,38.045963,79.573631
0.8334505,0.098961,0.573510,0.769967,0.965172,37.084064,80.209839
0.8528334,0.066503,0.561552,0.773872,0.958458,36.155952,83.246101
0.8722180,0.088101,0.570459,0.809259,0.994025,35.499222,81.220688
0.8916014,0.118363,0.570581,0.807551,0.995847,35.814220,78.280647
0.9109842,0.091518,0.568995,0.792908,0.980221,36.010712,80.862762
0.9303678,0.080535,0.563138,0.828661,1.005131,34.469219,81.861206
0.9497529,0.083098,0.551546,0.869295,1.032851,32.685680,81.432045
0.9691355,0.086881,0.547275,0.875396,1.036038,32.333942,80.979492
